JOB PROFILE,TOOLS
gaming gambling sw,c/c++ and custom engine development experience
resiliency tester/performance engineer,"stress testing, performance testing, scripting, unix, linux"
actimize pm  ,actimize
avp - application,"application development, saas, sdlc, leadership, executive presence, healthcare, analytics"
synon consultant  ,"synon, as/400"
linux admin  ,"unix, linux, oracle databases, veritas, dhcp, dns, bind and unix utilities"
quality analyst  ,"mobile telecommunications, windows, ios, api, mobile application testing/development, device testing"
"oracle rpas manager,",big 4 experience
openshift engineer (lead),"redhat openshift, java/perl/python, eaas paas"
network analyst -,"networks / networking, broadband services / vpn / vpn billing"
websphere portal developer,websphere portal developer
obiee developer (f2f),"obiee, oracle 11g"
.net with azure,"azure,cloud,tfs,.net,dot net,dot-net,dot net,performance tuning,c#,c #,aws,amazon,iaas,paas,architect,architecture,cloud,iaas,paas"
facets + edi,facets + edi testing
database developer /,"oracle, sql, sybase, shell scripting, unix"
hardware test engineer,"""hardware"" ""test engineer"" ""dmm"" ""oscilloscopes"" ""rf network analyzers"" ""traffic generators"" ""signal analyzers"" ""emi/emc testing"""
java developer with,"java, solr, elastic search, micro services, sql, hibernate,angular js,css, jdbc,jasmine and karma"
data support specialist,"sql, oracle, unix, linux, datapump, ftp, sftp, https, pci dds, ssae16, pgp, jira, php, python"
business systems analyst-sap,"experience with production support of sap mm, sap sd, possibly gts or eh&s, and ideally winshuttle and/or salesforce platform"
infrastructure engineer -,infrastructure engineer - network administrator
crm consultant  ,microsoft crm product experience and processes
applications development  ,"unix, analyst, data warehouse"
rpg programmer  ,"rpg 1, rpg ii, rpg iii, rpg iv, ile, as 400, sql 400, jde, jd edwards, jd one, edi, i series, ibm i series, sql,', 'rpg, iseries, programmer, as400, edi"
biostatistician    ,"sas programming, statistics, microsoft office, sas, oracle clinical, clinical research, biostatistics,', 'ms in biostatistics/statistics, sas programming, pharmaceutical, cro or biotech industry"
qe    ,"qa,qe,sql"
sharepoint technofunctional consultant,"sharepoint technofunctional, asp.net, access', 'sharepoint technofunctional, asp.net, access"
business intelligence analyst,bi etl netsuite tableau sap erp
system administrator w/,"securit clearance: minimum secret, prefer top secret, windows administration, vpn design, cisco asa, vmware administration, vmotion, site recovery manager, netapp administration, 7-mode, cluster mode"
intrusion detection specialist,"security, cyber, firewall, intrusion, support, incident"
sr bi publisher,"obiee, bi publisher, informatica, oracle, pl/sql, kpis"
program manager -,"""visual design"" ""ui/ux"" ""program management"" ""mobile design"" ""web design"" ""application design"" ""customer support"" ""tech"""
sr. network systems,"network engineering, systems engineering, hyper-v, windows, ms server, voip, active directory, exchange"
credit electronic trading,"credit trading, java, ion"
.net developer  ,".net', '.net c# jquery javascript sql angular html jquery', '.net c# jquery javascript sql"
"full stack, mean",full stack (mean) software engineer
devops engineer -,"devops, aws, ec2, s3, elb, asg, docker, git, jenkins, maven, gadle, aws vpc, tcp/ip, http, dns, ssl/tls"
project manager -,"""project manager"" ""bechtel"" ""fluor"" ""jacobs"" ""uav"" ""rfid"""
senior service desk,"windows server, active directory, gpo, exchange, mdm, airwatch, mobile iron, rsa tokens, cisco, palo alto, juniper, hp, dell, servers, networking, routers, switches, firewalls"
sap apo consultant,"sap apo snp & dp, ecc mm"
hp ppm technical,hp ppm
help desk -,assist sailors with multiple subjects.
software test automation,"test automation, selenium, grid, cucumber, maven, loadrunner, agile, scripting, ruby, javascript, jenkins"
senior software automation,"""python"" ""linux"" ""software automation"" ""agile scrum"" ""vmware"""
qa automation  ,"selenium, extjs, bdd, jbehave, cucumber, unix, xml, jenkins, jira, zephyr, java, maven, ant, ci, sql, oracle, junit, j2ee"
embedded sw engineer,"""c"" ""c++"" ""simd"""
api developer/specialist  ,"api , securing apis, govern api protocol, updating apis, evaluation, monitoring, implementing, priortizing, driving the api process, organize and manage apis"
data insight analyst,insight campaign analytics data marketing sql consumer sales cpg customer retail model predictive strategy product
senior java developer,"ccar, analytical, self-starter, sql data query and analysis, technology degree, strong documentation skills, java, finance experience, risk, spring batch, ext-js"
.net web developer,"c#, asp.net, mvc, web services, api, angular, sql, javascript, entity"
cobol/sql developer  ,"cobol, db2, sql"
etrading application production,"application support, trading, python, perl, linux, unix, redhat"
.net developer  ,"c#, .net, visual basic, javascript, vbscript, html5"
java / j2ee,"strong java / j2ee backend engineer with experience in backend data processing and databases, both relational and nosql', 'strong java / j2ee backend engineer with experience in backend data processing and databases, both relational and nosql"
director of continuous,"lean, safe, kanban, scrum, agile, six sigma, workout, ci, continuous improvement, director"
contract to hire,bachelors degree in computer science or related field; or equivalent experience
c# architect -,"c#, asp.net, sql"
data science developer,java java7 java8 spring mvc boot spark hadoop sql linux aws
.net developer (direct,"c#, asp.net, asp.net mvc, mvc, sql, javascript, jquery, bootstrap', 'c#, asp.net, asp.net mvc, mvc, sql, javascript, jquery, bootstrap"
.net architect @,".net architect, wpf, mvvm"
need senior devops,"devops,docker and pivotal cloud foundry"
peoplesoft fscm functional,peoplesoft fscm
gis consultant  ,gis
guidewire policycenter developer,"guidewire, gosu, policycenter', 'guidewire, policycenter, billingcenter, java, j2ee, p&c insurance"
lte stack developer,"lte stack developer,integration,stack integration,lte stack protocol development,lte/wi-fi protocol stack development,3gpp,c ++,embedded,rtos,real time operating system,lte"
technical lead  ,"c#, oracle, lead, .net"
hybris architect  ,"hybris core architecture, cockpits, pcm, order management, payment, wcms, vouchers"
system administrator (dynamics,"dynamics ax, support, ms sql, dax, system administration"
project manager (hr,"project managment, payroll and hr, cornerstone or lawson (is a huge plus)"
2nd level application,"application support, troubleshooting, help desk, desktop support', 'application support, troubleshooting, help desk, desktop support"
sr. hadoop administrator,"hadoop, cloudera, big data"
ms access /,"(""microsoft access"" or ""ms access"") and (""vb macro"" or ""visual basic macro"") and scripting and (""vb"" or ""visual basic"" or ""visual basic scripting"" or ""vb scripting"") and reporting and code and macros"
jde finance technical,jde finance technical with as 400
electrical engineer- robotics,"""power distribution"" ""control system design"" ""bsee"" ""msee"""
datastage developer with,"datastage developer , bigdata , hadoop , hive , sql , etl , data stage , java"
lead front end,"html5, javascript, angular"
embedded software engineers,"embedded security, infotainment, automotive, qnx"
informatica tdm architect,"informatica tdm architect, powercenter and powerexchange"
information security analyst,"saml, siteminder, kerberos, openid, entitlements and identity management, data protection, data leakage prevention"
director of accountability,access and/or microsoft sql server
j2ee service layer,"j2ee 8 yrs+, ria frameworks, excellent communications"
netsuite developer  ,"netsuite, coding, scripting, html, crm/erp"
frontend developer with,"angularjs,html5, css3, javascript, bootstrap,browser architecture ,scrum, github"
etl developer with,"informatica , basel"
salesforce systems developer,"5-8 yrs, intermediate programmer, programming experience & design responsibility, programming tools, devel & testing methodologies, coding and op requirements in client server environment"
content marketing manager,"content marketing, marketo preferred, seo"
tibco developer (9+,informatica
sde/consulting opportunity  ,"j2ee or .net, agile, mobile platform, http, rest or restful services, linux experience, consulting"
firmware/software qa engineer,"""firmware"" ""engineer"" ""software qa"" ""debugging"" ""pc/mac"" ""ios"" ""android"" ""test scripts"" ""whitebox testing"""
computer vision engineer,"""slam"" ""opencv"" ""3d geometry"" ""pose representation"""
senior bi developer,"bi, bo, dashboarding, designer studio"
bi lead  ,bi lead
oracle rmb  ,oracle revenue management and billing
sonic esb developer,"sonic 8.5.1 platform, java/jms platforms, web services"
pmo program manager,pmi project management professional (pmp) certification required.
oracle e-business suite,"oracle applications, ebs, e-business suite, developer, pl/sql, workflow, oracle forms, xml/bi publisher"
c++ low latency,"c++; python; unix; linux; hft', 'c++; python; unix; linux; hft"
hardware test engineer,"""hardware"" ""test engineer"" ""signal integrity"" ""eye diagrams"" ""electronic products"" high speed interfaces"" ""ddr"" ""ddr3"" ""hdmi"" ""mipi"" ""usb"" ""jitter analysis"""
solutions architect -,"application integration architecture, erp, peoplesoft, workday"
selenium qa automation,"java, selenium, cucumber, mvc, rest, adlc, xml, api, oracle, weblogic, sql, unix"
sap hana analytics,"sap hana analytics architect,sap hana analytics, bi analysis, solution design, dw data architecture, bi architecture, solution architecture"
cerner consultant  ,cerner
oracle atg ecommerce,"oracle, atg ecommerce, java, atg webcommerce, atg webservices, atg csc, endeca, sql server, html, xml, soap,unix and sdlc."
bi technical architect,"bi technical architect , sopa framework, ui, unix"
quality analyst with,"quality analyst,stb,set top boxes,cable cards,digital media devices,seachange spot,hp quality center ,quality analyst,stb,set top boxes,cable cards,digital media devices,seachange spot,hp quality cent"
project manager oil/gas,"""mechanical engineering"" ""overseas"" ""management"" ""proposals"""
project manager business,"business process, pmp, ms project, sharepoint, visio"
manhattan wmos consultant,manhattan open systems wms application consulting and configuration/set-up experience
sqa engineer  ,"systems testing, bug tracking, bugzilla, ruby, javascript, mysql"
project manager (life,"validation, biotech, life sciences, gxp"
architecture analyst specialized,pega lead
sap edi business,sap edi idocs project management business analysis
principal level software,"asap.net, c#, sql, restful apis, architect, full stack, solid principles', 'asap.net, c#, sql, restful apis, architect, full stack, solid principles"
project manager i,"project manager, rf, fcc, faa, state, local jurisdictions, time management, real estate, regulatory submissions"
introscope administrator  ,introscope
blockchain protocol developer,"""blockchain"" ""web infrastructure"" ""python"" ""ruby"" ""c++"" ""big data"" ""hadoop"" ""financial technology"""
sr. software engineer,"""node j.s"" ""linux"" ""elastic search"" ""postgressql"""
application release coordinator/manager,"release coordinator, manager, scheduling, administration, java/maven/jenkins"
manhattan tms consultant,manhattan tms application
peoplesoft fscm consultant,"peoplesoft fscm 9.2 ar, billing and cash management modules. must have hands on experience with year-end /month end closing procedures in peoplesoft."
cloud infrastructure manager,"""cloud infrastructure"" ""software builder"" ""iaas"" ""paas"" ""saas"" ""python"" ""java"" ""go"" ""coding"""
secret clearance req,"cold fusion, jquery,java script, css,pl/sql and secret clearance"
.net developer with,prism framework
salesforce technical solutions,"solution architecture, requirements gathering, salesforce.com"
b2b and wtx,"b2b integration experience, edi, wtx"
sr. cloud full,"""saas products"" ""c"" ""c++"" ""python"""
sap project manager,"sap project manager', 'solid skills in project management........', 'sap,project manager"
technical lead- okta,"okta, one login, ping identity, pingidentity, onelogin"
lead software engineer,min 5 years java programming exp | aws | well rounded in front to back end exp | python
sr test engineer,"software, development, sdet, excel, word, powerpoint, sharepoint, visio, hpe qc/ alm , sql, hpe business process test, cc&b, java script, vbscript, vb, c++, winrunner, loadrunner quicktest pro, remote"
bdd coach  ,"behavior driven development coach, training', 'behavior driven development coach, training"
nokia vital suite,"nokia vital suite ,integration/deployment"
senior software engineer,"api, paired programming, digital, agile"
sr active directory,active directory migration; quest migration manager ( qmm )
jde consultant- distribution,prior roles focusing on jd edwards distribution modules (5+ years); jde distribution configuration experience (5+ years); must be local or be willing to relocate to the chicagoland area
java development manager,java
need ba with,strong commercial leasing and lending expertise - across originations and servicing
jde project manager,"""bachelor's degree preferred or equivalent. minimum 7+ years of experience in the financial applications of oracle's - jd edwards enterpriseone 9.x experience leading teams and projects."""
sr. director it-,"it gtm business analyst, web development, mobile apps, strong leadership abilities, collaboration between departments"
cloud payroll consultant,"payroll, hcm, oracle hcm cloud"
cloud azure engineer,"""vm's, application gateway, traffic manager, storage, ad, nsg,azure,arm templates"""
workday integration developer,workday hcm integration studio xsl eib birt
senior insights analyst,"advanced excel, adobe analytics, ibm analytics or google analytics, testing tools (client optimost, adobe target, etc.)"
hybris sr. developer/track,"hybris, java dics, unit test, ecommerce modules, data load process, b2b, junit"
euc architect  ,"active directory, citrix xenapp, microsoft sharepoint, vdi environment', 'active directory, citrix xenapp, microsoft sharepoint, vdi environment"
junior mid-level .net,.net developer
sr. sql server,sql and data conversion
oim engineer  ,"oam, ldap, oim, saml 2.0, oracle mobile and social server, oauth2.0, openid, rest apis"
field network engineer,"microsoft exchange, sql and sharepoint dns, dhcp, remote desktop services vmware, hyper-v and other virtualization technologies storage solutions: san, nas, shared storage, iscsi, fiber channe"
infor (lawson) ghr,infor ghr v11 lawson workday taleo adp consultant
windows project manager,windows project manager
cisco nexus- networking,"nexus, ucs, fabric path, vpc, bgp, ospf', 'nexus, ucs, fabric path, vpc, bgp, ospf"
"data modeler/architect requirement,","data modeling, data architect, data mart"
wire edm programmer/operator,"wire edm programmer, wire edm operator"
javascript: seeking front,"javascript, backbone, marionette, underscore, handlebars, phantom"
business analyst -,full time
web content managers:,3+ years of experience managing and creating written materials; writing for web; translating ideas and concepts into words
jira admin with,"jira , atlassian , rest , core java, xml, jsp"
system requirements analyst,sme
microsoft support services,"windows server, pc, sccm. ad, vmware, networking"
ms sql server,".net, architecture, capacity planning, database, dba, encryption, management, object oriented design, security, sql, sql server, system administrator"
senior sitecore developer/coding,".net, agile, c#, css, developer, development, javascript, jquery, management, powershell, project, scrum, solr, sql"
admin with office,"microsoft office including word and excel, strong organzational skills and go getter attitude"
lead requirements business,"lead requirements business analyst ba, systems analysis, sdlc, test scripts, ms crm"
"web developer, mid","ajax, angularjs, consulting, css, developer, development, hadoop, html, java, javascript, jquery, programming, solr, supervision, web developer, xml"
java developer -,5+ years of working experience with java object-oriented web application development (jre 1.6/1.7)
distributed websphere mq,"websphere mq, aix, z/linux, mq clusters"
planning analyst  ,"investment, financial reporting, forecasting, portfolio analysis, addepar, novus, synthesize data"
sap automation/worksoft test,"sap tao, automation, qtp, manhattan wms/worksoft"
selenium qa tester,selenium framework
servicenow administrator  ,"servicenow certification (e.g., advanced system administration, certified system administrator, etc.), remedy"
front end web,please refer to job description
it software qa,"testing/quality assurance required 4 years specialized experience with emphasis on interpreting user requirements, and development of business application tests required 2 years insurance ind"
design engineer 0396,"hardware emulation systems (veloce, zebu and/or palladium),c/c++ working knowledge for coding and debug, knowledge of x86 system architecture"
large systems architect,"zos, n-tier application design, solutions architect"
digital content master,"scheduling, digital, media, video"
ccna consultant  ,ccna
etl/dwh test lead-ct,"etl/dwh testing, qa, unix, test cases, test scripts"
senior electrical engineer,embedded microcontroller circuit design -- rf circuit design for data/telecommunications applications -- pcb layout -- power regulator circuits
database testing (,test
data architect -,"unix, linix, solaris, microsoft windows"
junior c#.net developer,"c#, .net, programming, sql"
websphere message broker,"ibm websphere message broker development, ibm mq, esql"
qa automation lead,"qa, big data, hadoop, sql server, t-sql java"
java developer (,"java,j2ee, , sql, rest api"
full time: senior,".net, javascript, html, angularjs"
crm (customer relations,"must have b@b collec tions exp,strong excel skills, pivot tables and v-look ups"
infra architect with,"infrastructure technologies, hosting, storage, network, vmware, share point, oracle, sap, crm, erp, azure, o365, cloud integration, azure, o365, cloud integration etc. ms azure hosting"
oracle dba line,oracle and unix and sap
saba lms engineer,"learning management system (lms) domain, saba, specifically 7x version', 'learning management system (lms) domain, saba, specifically 7x version"
software developer .net,"c#, asp.net, and transact-sql, experience with source control management systems, such as git (preferred), svn, and tfs"
qa engineer @,"testing, alm, uft"
mainframe remote support,"mainframe systems programmer - all software products - z/os, cics, db2, ims, isv, z/linux, z/vm, dba, security"
qa/java engineer  ,"java, j2ee, spring, webservices, automation, selenium"
global service desk,technical support
web and applications,"web development, electrical engineering, computer science, html and javascript, jquery, react, web stack knowledge, socket programming, internet/ethernet protocols, python, perl"
sr. data sys.,"pl/sql,sql,data analysis,data correction,data profiling,data auditing,complex retirement system,data modeling,legacy system,people-soft system,data cleansing,ms-office suite"
production support analyst,"4+ years of experience - .net, sql, web services"
senior drupal developers,"drupal, php modules, drupal framework, jquery"
compliance analyst -,"compliance frameworks, it security"
sap tao automation,sap tao automation
service catalog process,itil service now
plm business process,"plm business process expert', 'plm business process expert"
tivoli identity manager,ibm securiy identity manager isim itim tim tdi tds tspm spm tivoli access manager tam tivoli identity manager tim itam access management
it pm (junior/mid,"waterfall methodologies , ms project"
front end developer,"xhtml,css3,java script,sass."
sr. sas developer/modeler,"sas cpnm , sas workbench, strong regulatory banking"
qa engineer with,"qa, selenium webdriver, robot"
jd edwards data,"jde, jd edwards, data migration, lead"
microsoft .net developer,"c#, mvc, soap, rest, web services, wcf, html/css/javascript"
senior splunk administrator,candidate must have a splunk administrator certification
sap crm (cloud,sap crm c4c
business system analyst,"see job description', 'see job description', 'product development, sdlc, vpn, ethernet, web application development, architect"
it staffing -,"it staffing sales, information technology sales, bdm, business development manager, sales director, sales partner"
workflow developer /,winshuttle onbase
senior applications vulnerability,"vulnerability, penetration testing, owasp, nist, ibm appscan, hp fortify, whitehat, coresecurity core impact, rapid7 nexpose, burp, sans, ceh, cisa, cissp, and csslp"
ui developer /,node.js and backbone.js
senior sustaining engineer,senior sustaining engineer
lead deployment engineer,"application troubleshooting & debugging (.net & java applications), ms build, maven, jenkins, teamforge, tfs, iis, weblogic, autosys"
sap fico consultant(product,sap fico
ibm tivoli identity,"ibm tivoli identity manager administration, tivoli security identity manager, javascript, itim adapter for active directory, microsoft active directory administration"
core java developer,"java, concurrency, ml +, finance"
ela licensing operations,licensing analyst
manager marketing campaigns,sql unica aprimo
qnxt provider configuration,qnxt and provider contract and benefit configuration and med-cal
project manager -,"bachelors degree program management certifications (dawia, pmp, similar)"
business analytics manager,"business analytics, data warehouse, business intelligence, machine learning"
information architect  ,"data modeling, database design, master data management, etl/eii/data soa, metadata management, tiered storage, bi/reporting/analytics.', 'information architecture, wireframes, flowcharts, prototypes, style guides, ipad, visual design"
tibco spotfire developer,"tibco spotfire, hadoop, java and linux"
network security engineer,"cisco ccie and ccnp certifications needed with extensive expertise in routing/ switching/ configuration/ analyzing and troubleshooting of complex networks. cisco esa, wsa. cws, cisco acs needed"
ux designer -,"ux, axure, fireworks, omnigraffle, photoshop, illustrator, cases, wireframes, html, css, javascript"
senior oracle pl/sql,"agile, architecture, business requirements, database, database administration, developer, development, javascript, jquery, linux, management, middleware, oracle, physics, pl/sql, qa, risk management, sdlc, sql, unix, version control"
technical support engineer,"analytical skills, citrix, customer service, dns, networking, protocols, sql, tcp/ip"
senior java developer,"j2ee, java, di frameworks, hibernate, soap, rest, jms, jax/rs - j2ee, java, di frameworks, hibernate, soap, rest, jms, jax/rs"
mainframe testing advocate,"hp testing, sql, mf testing, retail"
trainer (software &,technical training
project manager -,"business intelligence, consulting, customer service, database, data warehouse, excel, manager, management, middleware, ms office, oracle, pmp, powerpoint, project, project management, project manager"
"redhat jboss fuse,","redhat jboss fuse, redhat active mq, and redhat api gateways, vmware vrealize suite"
principal member of,"agile, api, architecture, development, environmental, management, materials, metrics, modeling, networking, project, risk management, telecommunications"
cyber risk vigilant,"bash, consulting, development, excel, html, http, java, management, modeling, python, recruiter, research, security, unix, windows"
mechanical engineer positions,mechanical engineer
video engineer  ,"mpeg, vod, mso, dac, dncs"
project leader  ,"sdlc project implementation, pmp required or other project management certifications, pmi core methodologies"
firewall\utm support engineer,"analysis, architecture, cisco, civil, crm, firewall, genetic, hardware, http, linux, management, networking, networks, programming, protocols, security, ssl, unix, validation"
urgent need fulltime,"html, css, javascript, jquery, ajax, angular js"
desktop support specialist,"civil, desktop support, genetic, hardware, laptop, printer, sms, windows"
urgent ca identity,"strong architecture, design, implementation and development experience in ca identity manager r12.6"
network engineer level,"routing,switching,vpn,level2/3 support,load balancer,proxy,offshore,onshore support"
senior etl developer/lead,lead etl developer ssis informatica powercenter sql server oracle developer teradata senior etl developer ssis informatica powercenter bi data warehouse etl business intelligence source target mapping
etl developer  ,"oracle 10g, 11g., pl/sql programming, ibm data stage"
.net developer (hot,".net developer, asp.net, c#, mvc, javascript frameworks, angular.js, backbone.js, web api, c#, nunit, web developer, restful web services, test driven development (tdd), web developer, .net programmer"
software engineer -,"agile, architecture, automated, cisco, consulting, development, java, linux, networking, networks, protocols, python, research, scrum, sdlc, security, software engineer, tcp/ip, testing, video, vmware"
systems engineer -,"analysis, architecture, bmc, business requirements, database, development, java, linux, linux admin, manager, management, recruiter, security, sql, unix, windows"
infrastructure/storage specialist  ,storage v7000 svc brocade
security product owner,"agile, analysis, analyst, application servers, business analyst, cisco, consulting, data modeling, development, manager, management, middleware, modeling, networking, networks, programming, release, research, sales, security, testing"
lead .net developer,"c#, asp.net, sql server, javascript, full stack development"
api integration developer,"api, rest, soap, javascript"
java developer -,"oop, java/j2ee, spring mvc, rest-api, jax-rs, amqp, mongodb or nosql, data structures/algorithms - oop, java/j2ee, spring mvc, rest-api, jax-rs, amqp, mongodb or nosql, data structures/algorithms"
senior back end,"core java, mysql, oracle, cassandra, tcp/ip - core java, mysql, oracle, cassandra, tcp/ip"
field service engineer,"field engineering, evaporation systems, acceptance testing, electronics diagnostics & repair, vacuum technology, thin film, semiconductor process manufacturing equipment, equipment audits, warranty repair work - field engineering, evaporation systems, acceptance testing, electronics diagnostics & repair, vacuum technology, thin film, semiconductor process manufacturing equipment, equipment audits, warranty repair work"
senior front end,"javascript, nodejs, mongodb, cloud / aws / heroku, html5 - javascript, nodejs, mongodb, cloud / aws / heroku, html5"
agile software developer,"agile, developer, programmer, c#, .net, vb, rest, wcf, nhibernate, sql, entity framework, linq, javascript, html, git, svn, tfs"
back end developer,"python, sql, android, objective-c, machine learning - python, sql, android, objective-c, machine learning"
sr. systems administrator,"windows server 2012, exchange 2013/exchange sync, vmware/vsphere and vcenter, cisco unified communications (certified), active directory, mdm (eas and bes), enterprise backup solutions, remote software support, cissp/ccna/mcse/mcsa/vcp (preferred), veeam disaster recovery - windows server 2012, exchange 2013/exchange sync, vmware/vsphere and vcenter, cisco unified communications (certified), active directory, mdm (eas and bes), enterprise backup solutions, remote software support, cissp/ccna/mcse/mcsa/vcp (preferred), veeam disaster recovery"
servicenow developer (cth),"developer, development, java, javascript, programming, sdlc, testing"
devops/systems admin engineer,"aws, puppet, postgressql or mysql, git - aws, puppet, postgressql or mysql, git"
director of architecture,"java, oracle db, javascript, sql, software architecture, mobile application development, sap hana - java, oracle db, javascript, sql, software architecture, mobile application development, sap hana"
ui engineer  ,"css, development, dom, javascript, jquery, libraries, xml', 'ui, user interface, html, css, javascript"
ios developer -,"objective-c, swift, kiwi or xctest framework, acceptance testing frameworks like kif, uikit/avkit/cloudkit, ios sdk, ios development - objective-c, swift, kiwi or xctest framework, acceptance testing frameworks like kif, uikit/avkit/cloudkit, ios sdk, ios development"
pre-sales engineer with,"hadoop support, business intelligence, technical pre-sales, internal business user support, customer-facing user support - hadoop support, business intelligence, technical pre-sales, internal business user support, customer-facing user support"
senior ui front,"javascript, html5, css3, restful apis, sass, less, angularjs, grunt, gulp - javascript, html5, css3, restful apis, sass, less, angularjs, grunt, gulp"
worlds most powerful,"linux, scripting experience (python/perl/shell/bash), mysql/postgresql, coreos, tcp/ip, security, monitoring tools (nagios/zabbix/cacti), aws, vmware, ubuntu - linux, scripting experience (python/perl/shell/bash), mysql/postgresql, coreos, tcp/ip, security, monitoring tools (nagios/zabbix/cacti), aws, vmware, ubuntu"
software architect -,"java, javascript, node.js, nosql data structures, aws - java, javascript, node.js, nosql data structures, aws"
fintech software engineer,"financial/payment/accounting stacks, kyc, aml, digital wallets, javascript, node.js, security critical code, fintech experience, financial apis, mobile optimization - financial/payment/accounting stacks, kyc, aml, digital wallets, javascript, node.js, security critical code, fintech experience, financial apis, mobile optimization"
head of marketing,"saas, startup industry, growth & optimization, a/b testing strategies, product positioning, go-to-market plans, product updates and product launches, build/execute high growth trajectory, technical background/acumen, understanding of the developer community - saas, startup industry, growth & optimization, a/b testing strategies, product positioning, go-to-market plans, product updates and product launches, build/execute high growth trajectory, technical background/acumen, understanding of the developer community"
executive assistant /,"executive assistant/office manager, data integrity, database"
oracle credit mgt,5+ years experience
salesforce.com developer /,"salesforce.com, sfdc, dev 401, dev 501, force.com, heroku, ngforce"
application engineer -,"b.s, electrical engineering, power systems, system protection, protective relays, settings, spanish, english"
manager imaging services,"onbase, microsoft office, project management"
core java devloper,front office trading technology and core java
oracle ebiz fa,oracle ebiz fa + obiee
documentation program manager,"documentation, content certification, content development, program management, pmp, capm, sharepoint, ms project, visio"
dynamics nav developer/analyst,"dynamics nav developer/analyst - auburn, wa - $80-115k"
software tools engineer,"development, engineer, game, hardware, research, software"
senior analytics consultant,"analytics, service delivery, data analysis"
cloud mdm analyst,"""nformatica cloud mdm"" ""enterprise data management processes"" ""data governance"" ""data quality"" ""etl"" ""salesforce"" ""sap bods"""
java developer with,"mongo db, java, spring"
software developer -,"software developer - platform and web services', 'software developer - platform and web services"
web application developer,"ui development, html, css, javascript, frameworks, java, sql"
financial analyst (excel,"excel, hyperion, modeling, forecast, automation, oracle, business objects', 'excel, hyperion, modeling, forecast, automation, oracle, business objects"
multiple positions (mobile,"mobile application, salesforce, sharepoint, soa, siebel, peoplesoft, sap, oracle apps"
risk compliance-data privacy/ecm,"risk compliance, data privacy, enterprise content management, ecm"
sap bi project,sap bi project / program manager
"systems administrator, servicenow","servicenow, lamp, linux, open source"
software engineer- server,"scala/akka, kafka, cassandra, intellij, artifactory, jenkins"
lead node.js software,node.js restful apis
program manager non,"program management, risk management"
tools software engineer,"analysis, bluetooth, case, development, embedded, ethernet, graphics, hardware, linux, management, programming, project, software engineer, technical writing, testing, test plan, unix, video, windows"
"sr manager, data",see job overview.
3d artist 3,3d artist 3 (engineering)
sr.embedded developer  ,"embedded,c,linux,device drivers,uboot,gcc.spi,i2c"
web analytics/site catalyst,"adobe site catalyst, sql, seo, sem"
hardware test engineer,"hardware testing, test management, statistical analysis, games, tfs, visual studio"
senior scrum master,"sdlc , scrum"
technical program manger,"saas, cloud computing, program manager, scrum master certification"
oracle apps technical,"oracle application, oracle apps, orcale to cash (om/ar), b2b, pl-sql, java, html, javascript, oracle, procure to pay, order to cash and supply chain"
aws senior solutions,"aws, cloud, vmware, linux, java, php, postgres"
sap/vmware trainer  ,"vmware administration,sap administration,sap management modules,instruction experience,cloud technology,it training,correctional environment"
staff software engineer,"excellent java skills, apis, web services, and high performance messaging. expert level integration technologies like rest, json, soap, soa, jms and more. large scale distributed environments exp."
is business analyst,"""bachelor's degree; six (6) years of experience in the information systems field, including programming and system analysis, or directly related experience"""
bsa_ ccar(business system,business sytem analyst with ccar and financial background !
java developer with,"java developer, teamsite, team site"
web developer 2,"web development, html5, css / css3, javascript, bootstrap, less, angularjs, requirejs, typescript"
data analyst /,"data analyst, data migration, data transformation, etl, sql, t-sql, relational database"
it quality assurance,"loadrunner, neoload, define scripts"
senior integration developer,"senior integration developer (ipaas), hybrid integration platform (ghip), dell-boomi, integration competency centers"
sr. technical recruiter,"recruiting, talent acquisition experience, sales and marketing"
linux performance tuner,"linux performance tuning with python, mysql"
oracle epm &,"epm, odi, hyperion, essbase, unix, oracle"
"it development manager,","accounting, analysis, architecture, business intelligence, change management, data architecture, development, development manager, hardware, http, informatica, manager, management, metrics, oracle, pl/sql, project, sdlc, security, sql, video"
jr. to lead,clojure erlang lisp haskell scala ocaml java python ruby rails php javascript node.js
technical support lead,telecommuting not available travel not required
cloud architect advisory,caa (cloud architect advisory)
senior technical marketing,"experience with web technologies such as asp.net, mvc, jquery, and angular.js; email marketing tools, website content"
need sfdc veeva,"veeva , sfdc , crm, administration, implementing"
software qa engineer,"asp, >net, c#', 'qa,java, software, cloud, testing, python, shell,', 'qa,java, software, cloud, testing, python, shell"
systems engineer: window(security),systems engineer: window(security) position
information security &,"ssae16, soc2, fedramp, iso27001, cissp"
remedy administrator/developer  ,remedy administrator/developer
backend service engineer,"corejava, data structures, restapi, annotations, couchdb, mongodb"
content production specialist,cms content management systems html xml
principal consultant -,"microsoft office, o360, crm, .net, sharepoint, salesforce, nintex"
cloud & virtualization,"cloud, virtualization, cloud management tools, openstack, scripting, web/application servers"
fron end -,fron end - javascript developer
enterprise estimation project,see job overview.
aws developer  ,"python, aws, 6 years of software development experience"
senior product manager,cross function and product roadmap and e-commerce
engineering program manager-1078,"oem, ""customer facing"", software"
technical architect-developer productivity,"c/c++, python/perl, django, java, groovy, jenkins, linux (ubuntu/centos) environments, excellent in bash commands (sed/awk)"
